Case,Name,Rank,Badge,Incident Date,Location,Precinct,Allegation,Disposition,Discipline,
200503-0032,AARON K DENNIS,Police Officer,95,2004-09-11 21:30:00,Private Residence or Property,4,Force,Not Sustained,,
200608-0222,AARON K DENNIS,Police Officer,95,2006-08-27 4:40:00,Private Residence or Property,14,Force,Not Sustained,,
200609-0005,AARON K DENNIS,Police Officer,95,2006-08-26 1:37:00,Bar,14,Force,Not Sustained,,
200704-0061,AARON K DENNIS,Police Officer,95,2007-04-09 5:36:00,Private Residence or Property,14,Force,Not Sustained,,
200706-0245,AARON K DENNIS,Police Officer,95,2007-06-18 0:30:00,Private Residence or Property,14,Force,Not Sustained,,
200707-0096,AARON K DENNIS,Police Officer,95,2007-07-08 1:00:00,Police Vehicle,14,Individual Issued Mace,Officers Actions within Policy,,
201508-1040,RICHARD S MOORE,Police Officer,96,2015-08-02 1:20:00,Bar,1,Force,Unfounded,,
201309-0154,MATTHEW D CLARK,Police Officer,104,2013-08-29 1:41:00,Public Building or Property,16,Striking Hands / Feet,Officers Actions within Policy,,
201309-0154,MATTHEW D CLARK,Police Officer,104,2013-08-29 1:41:00,Public Building or Property,16,Injury during arrest,Officers Actions within Policy,,
201309-0192,MATTHEW D CLARK,Police Officer,104,2013-09-15 17:00:00,Public Building or Property,3,Injury during arrest,Officers Actions within Policy,,
200305-0116,MARK A GEORGE,Police Officer,105,2003-03-27 8:22:00,Street/Alley,4,Striking Hands / Feet,Officers Actions within Policy,,
200305-0116,MARK A GEORGE,Police Officer,105,2003-03-27 8:22:00,Street/Alley,4,Injury during arrest,Officers Actions within Policy,,
200309-0098,MARK A GEORGE,Police Officer,105,2003-08-13 10:22:00,Street/Alley,4,Individual Issued Mace,Officers Actions within Policy,,
200204-0011,JAMES W SHEEHAN,Police Officer,111,2002-04-01 20:18:00,Street/Alley,2,Force,Not Sustained,,
200407-0079,JAMES W SHEEHAN,Police Officer,111,2004-07-02 23:00:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
201501-0053,JAMES M TRIPP,Police Officer,113,2015-04-22 2:14:00,Bar,14,Individual Issued Mace,Officers Actions within Policy,,
201510-1011,JAMES M TRIPP,Police Officer,113,2015-10-09 2:00:00,Street / Alley,11,Force,Unfounded,,
200208-0007,FLETCHER R FARR,Police Officer,116,2002-07-30 10:09:21,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
200208-0084,FLETCHER R FARR,Police Officer,116,2002-07-31 10:59:53,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
200305-0092,FLETCHER R FARR,Police Officer,116,2003-03-27 13:40:00,Business Building Or Property,16,Injury during arrest,Officers Actions within Policy,,
200305-0188,FLETCHER R FARR,Police Officer,116,2003-05-01 14:20:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
200312-0015,FLETCHER R FARR,Police Officer,116,2003-11-15 20:15:00,Street/Alley,3,Individual Issued Mace,Officers Actions within Policy,,
200407-0196,FLETCHER R FARR,Police Officer,116,2004-05-11 10:20:00,Street/Alley,16,Striking Hands / Feet,Officers Actions within Policy,,
200410-0247,FLETCHER R FARR,Police Officer,116,2004-10-14 9:35:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
200510-0157,FLETCHER R FARR,Police Officer,116,2005-10-15 12:45:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200511-0169,FLETCHER R FARR,Police Officer,116,2005-10-24 9:00:00,Public Building or Property,16,Striking Hands / Feet,Officers Actions within Policy,,
200608-0084,FLETCHER R FARR,Police Officer,116,2006-08-07 10:45:00,Street/Alley,16,Force,Unfounded,,
200705-0243,FLETCHER R FARR,Police Officer,116,2007-05-03 13:08:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
201101-0100,FLETCHER R FARR,Police Officer,116,2011-01-13 9:19:19,Street/Alley,16,Force,Unfounded,,
201103-0169,FLETCHER R FARR,Police Officer,116,2011-02-14 13:55:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
201103-0246,FLETCHER R FARR,Police Officer,116,2011-03-25 13:45:00,Private Residence or Property,16,Injury during arrest,Officers Actions within Policy,,
201110-0101,FLETCHER R FARR,Police Officer,116,2011-09-26 18:03:00,Public Building or Property,16,Individual Issued Mace,Officers Actions within Policy,,
201201-0098,FLETCHER R FARR,Police Officer,116,2011-12-20 12:32:00,Street/Alley,16,Striking Hands / Feet,Officers Actions within Policy,,
201201-0098,FLETCHER R FARR,Police Officer,116,2011-12-20 12:32:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
201312-0074,FLETCHER R FARR,Police Officer,116,2013-11-14 10:03:00,Street/Alley,16,Injury during arrest,Officers Actions within Policy,,
201404-0035,FLETCHER R FARR,Police Officer,116,2014-03-21 14:07:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
201501-0094,FLETCHER R FARR,Police Officer,116,2014-06-20 11:51:00,Business Building Or Property,16,Injury during arrest,Officers Actions within Policy,,
201501-0027,AMANDA K HILL,Police Officer,117,2014-09-07 17:02:00,Street/Alley,12,Individual Issued Mace,Officers Actions within Policy,,
200212-0086,KENNETH R COONTZ,Police Officer,121,2002-11-23 2:00:00,Street/Alley,4,Chemical Agent ordnance (Field Force),Officers Actions within Policy,,
200306-0075,KENNETH R COONTZ,Police Officer,121,2003-05-15 13:11:00,Private Residence or Property,17,Striking Hands / Feet,Officers Actions within Policy,,
200306-0075,KENNETH R COONTZ,Police Officer,121,2003-05-15 13:11:00,Private Residence or Property,17,Injury during arrest,Officers Actions within Policy,,
200309-0153,KENNETH R COONTZ,Police Officer,121,2003-09-17 19:00:00,Street/Alley,3,Force,Cancelled for Cause,,
200411-0196,KENNETH R COONTZ,Police Officer,121,2004-11-20 17:20:00,Street/Alley,4,Striking Weapon,Officers Actions within Policy,,
200411-0196,KENNETH R COONTZ,Police Officer,121,2004-11-20 17:20:00,Street/Alley,4,Injury during arrest,Officers Actions within Policy,,
200602-0119,KENNETH R COONTZ,Police Officer,121,2006-02-15 16:11:00,Public Building or Property,11,Injury during arrest,Officers Actions within Policy,,
201104-0203,KENNETH R COONTZ,Police Officer,121,2011-03-18 19:31:00,Private Residence or Property,18,Striking Hands / Feet,Officers Actions within Policy,,
201104-0203,KENNETH R COONTZ,Police Officer,121,2011-03-18 19:31:00,Private Residence or Property,18,Injury during arrest,Officers Actions within Policy,,
201209-0024,KENNETH R COONTZ,Police Officer,121,2012-08-24 12:55:00,Private Residence or Property,20,Injury during arrest,Officers Actions within Policy,,
201304-0027,KENNETH R COONTZ,Police Officer,121,2013-03-15 16:22:00,Private Residence or Property,3,Injury during arrest,Officers Actions within Policy,,
201305-0138,KENNETH R COONTZ,Police Officer,121,2013-03-23 20:20:00,Public Building or Property,11,Striking Hands / Feet,Officers Actions within Policy,,
201305-0138,KENNETH R COONTZ,Police Officer,121,2013-03-23 20:20:00,Public Building or Property,11,Injury during arrest,Officers Actions within Policy,,
201105-0092,SHARON K WILSON,Police Officer,122,2011-05-04 14:42:00,Private Residence or Property,10,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
201110-0133,SHARON K WILSON,Police Officer,122,2011-09-13 15:44:00,Private Residence or Property,10,Injury during arrest,Officers Actions within Policy,,
201208-0420,SHARON K WILSON,Police Officer,122,2012-06-30 19:40:00,Private Residence or Property,10,Injury during arrest,Officers Actions within Policy,,
201012-0193,MICHAEL R LAIRD,Police Officer,134,2010-11-07 21:21:00,Police Headquarters,H,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201105-0101,MICHAEL R LAIRD,Police Officer,134,2011-04-19 4:40:00,Police Vehicle,13,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201110-0077,MICHAEL R LAIRD,Police Officer,134,2011-10-14 6:10:00,Private Residence or Property,12,Force,Unfounded,,
201202-0135,MICHAEL R LAIRD,Police Officer,134,2012-02-03 0:25:00,Street/Alley,12,Injury during arrest,Officers Actions within Policy,,
201207-0001,MICHAEL R LAIRD,Police Officer,134,2012-06-23 3:39:37,Private Residence or Property,12,Force,Not Sustained,,
201208-0459,MICHAEL R LAIRD,Police Officer,134,None,Private Residence or Property,11,Firearm Used,Pending,,
201211-0049,MICHAEL R LAIRD,Police Officer,134,2012-11-02 7:30:00,Street/Alley,12,Injury during arrest,Officers Actions within Policy,,
201212-0065,MICHAEL R LAIRD,Police Officer,134,2012-10-21 3:14:00,Private Residence or Property,12,Injury during arrest,Officers Actions within Policy,,
201305-0203,MICHAEL R LAIRD,Police Officer,134,2013-04-03 14:50:00,Street/Alley,16,Striking Hands / Feet,Officers Actions within Policy,,
201305-0203,MICHAEL R LAIRD,Police Officer,134,2013-04-03 14:50:00,Street/Alley,16,Injury during arrest,Officers Actions within Policy,,
201403-0180,MICHAEL R LAIRD,Police Officer,134,2014-02-10 0:23:48,Street/Alley,12,Injury during arrest,Officers Actions within Policy,,
201406-0244,MICHAEL R LAIRD,Police Officer,134,2014-04-17 23:39:00,Private Residence or Property,12,Striking Hands / Feet,Officers Actions within Policy,,
201406-0244,MICHAEL R LAIRD,Police Officer,134,2014-04-17 23:39:00,Private Residence or Property,12,Injury during arrest,Officers Actions within Policy,,
201502-0109,MICHAEL R LAIRD,Police Officer,134,2014-10-29 2:43:00,Street/Alley,12,Individual Issued Mace,Officers Actions within Policy,,
201502-0194,MICHAEL R LAIRD,Police Officer,134,2014-01-14 5:15:00,Street/Alley,12,Individual Issued Mace,Officers Actions within Policy,,
201502-0218,MICHAEL R LAIRD,Police Officer,134,2014-09-18 4:39:00,Street/Alley,12,Injury during arrest,Officers Actions within Policy,,
200305-0154,ROBERT P COFFMAN,Police Officer,135,2003-04-28 22:25:00,Street/Alley,8,Striking Hands / Feet,Officers Actions within Policy,,
200507-0053,ROBERT P COFFMAN,Police Officer,135,2005-07-11 9:53:00,Private Residence or Property,17,Firearm Used,Officers Actions within Policy,,
200701-0289,ROBERT P COFFMAN,Police Officer,135,2006-01-03 15:54:00,Private Residence or Property,F,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200702-0096,ROBERT P COFFMAN,Police Officer,135,2006-11-29 19:38:00,Private Residence or Property,10,Injury during arrest,Officers Actions within Policy,,
200710-0015,ROBERT P COFFMAN,Police Officer,135,2007-08-29 11:30:00,Street/Alley,2,Striking Hands / Feet,Officers Actions within Policy,,
200710-0015,ROBERT P COFFMAN,Police Officer,135,2007-08-29 11:30:00,Street/Alley,2,Injury during arrest,Officers Actions within Policy,,
200907-0344,ROBERT P COFFMAN,Police Officer,135,2009-02-25 18:37:00,Private Residence or Property,F,Injury during arrest,Officers Actions within Policy,,
200103-0043,JAMES A MCFADDEN,Police Officer,136,2001-03-09 15:05:00,Public Building or Property,6,Force,Unfounded,,
200103-0043,JAMES A MCFADDEN,Police Officer,136,2001-03-09 15:05:00,Public Building or Property,6,Individual Issued Mace,Officers Actions within Policy,,
200205-0008,JAMES A MCFADDEN,Police Officer,136,2002-05-01 14:45:00,Public Building or Property,6,Force,Unfounded,,
200205-0270,JAMES A MCFADDEN,Police Officer,136,2002-04-16 13:15:00,Public Building or Property,6,Individual Issued Mace,Officers Actions within Policy,,
200411-0070,JAMES A MCFADDEN,Police Officer,136,2004-10-21 17:40:00,Street/Alley,12,Striking Hands / Feet,Officers Actions within Policy,,
200411-0070,JAMES A MCFADDEN,Police Officer,136,2004-10-21 17:40:00,Street/Alley,12,Individual Issued Mace,Officers Actions within Policy,,
200502-0170,JAMES A MCFADDEN,Police Officer,136,2005-01-22 15:10:00,Private Residence or Property,13,Individual Issued Mace,Officers Actions within Policy,,
200701-0198,JAMES A MCFADDEN,Police Officer,136,2007-01-08 4:09:00,Street/Alley,18,Striking Hands / Feet,Officers Actions within Policy,,
200701-0198,JAMES A MCFADDEN,Police Officer,136,2007-01-08 4:09:00,Street/Alley,18,Individual Issued Mace,Officers Actions within Policy,,
200703-0228,JAMES A MCFADDEN,Police Officer,136,2007-03-10 15:15:00,Public Building or Property,12,Striking Hands / Feet,Officers Actions within Policy,,
200703-0228,JAMES A MCFADDEN,Police Officer,136,2007-03-10 15:15:00,Public Building or Property,12,Injury during arrest,Officers Actions within Policy,,
201202-0172,JAMES A MCFADDEN,Police Officer,136,2012-02-13 18:57:00,Business Building Or Property,1,Injury after arrest (transporting / processing),Officers Actions within Policy,,
200710-0113,MICHAEL A CASTLE,Police Officer,139,2007-09-27 15:20:00,Business Building Or Property,9,Individual Issued Mace,Officers Actions within Policy,,
200103-0021,ROBIN D MEDLEY,Police Officer,142,2001-03-06 1:17:00,Private Residence or Property,2,Individual Issued Mace,Officers Actions within Policy,,
200110-0172,ROBIN D MEDLEY,Police Officer,142,2001-10-11 0:07:00,Street/Alley,4,Individual Issued Mace,Officers Actions within Policy,,
200111-0182,ROBIN D MEDLEY,Police Officer,142,2001-11-02 14:03:15,Bar,2,Individual Issued Mace,Officers Actions within Policy,,
200112-0038,ROBIN D MEDLEY,Police Officer,142,2001-12-05 1:06:00,Private Residence or Property,2,Striking Weapon,Officers Actions within Policy,,
